,Data,Unix,Ticker,DE Ratio,Date
0,,1075507262.0,a,0.407,2004-01-30 19:01:02
1,,1081843631.0,a,0.375,2004-04-13 04:07:11
2,,1102991854.0,a,0.323,2004-12-13 21:37:34
3,,1106389039.0,a,0.322,2005-01-22 05:17:19
4,,1136792116.0,a,0.0,2006-01-09 02:35:16
5,,1150902076.0,a,0.368,2006-06-21 11:01:16
6,,1155998521.0,a,0.396,2006-08-19 10:42:01
7,,1172011616.0,a,0.411,2007-02-20 17:46:56
8,,1176368871.0,a,0.411,2007-04-12 05:07:51
9,,1201134530.0,a,0.645,2008-01-23 19:28:50
10,,1202982274.0,a,0.645,2008-02-14 04:44:34
11,,1209199763.0,a,0.67,2008-04-26 04:49:23
12,,1228609293.0,a,0.83,2008-12-06 19:21:33
13,,1312281937.0,a,54.36,2011-08-02 06:45:37
14,,1320746656.0,a,51.62,2011-11-08 05:04:16
15,,1368505738.0,a,44.12,2013-05-14 00:28:58
16,,1378462192.0,a,56.39,2013-09-06 06:09:52
17,,1081844410.0,aa,0.595,2004-04-13 04:20:10
18,,1094760945.0,aa,0.561,2004-09-09 16:15:45
19,,1101310640.0,aa,0.53,2004-11-24 10:37:20
20,,1102225002.0,aa,0.53,2004-12-05 00:36:42
21,,1105618712.0,aa,0.457,2005-01-13 07:18:32
22,,1107766117.0,aa,0.457,2005-02-07 03:48:37
23,,1116766103.0,aa,0.543,2005-05-22 08:48:23
24,,1150792341.0,aa,0.526,2006-06-20 04:32:21
25,,1169770177.0,aa,0.494,2007-01-25 19:09:37
26,,1172239422.0,aa,0.494,2007-02-23 09:03:42
27,,1179364367.0,aa,0.494,2007-05-16 21:12:47
28,,1182508752.0,aa,0.503,2007-06-22 06:39:12
29,,1192150679.0,aa,0.47,2007-10-11 20:57:59
30,,1201122353.0,aa,0.499,2008-01-23 16:05:53
31,,1225169542.0,aa,0.672,2008-10-28 00:52:22
32,,1228456995.0,aa,0.672,2008-12-05 01:03:15
33,,1228574026.0,aa,0.672,2008-12-06 09:33:46
34,,1229615647.0,aa,0.672,2008-12-18 10:54:07
35,,1315056083.0,aa,48.26,2011-09-03 09:21:23
36,,1320285887.0,aa,50.93,2011-11-02 22:04:47
37,,1320542964.0,aa,50.93,2011-11-05 21:29:24
38,,1325551326.0,aa,50.93,2012-01-02 19:42:06
39,,1331296446.0,aa,54.5,2012-03-09 07:34:06
40,,1332138288.0,aa,54.5,2012-03-19 02:24:48
41,,1337442712.0,aa,55.28,2012-05-19 11:51:52
42,,1343595117.0,aa,56.42,2012-07-29 16:51:57
43,,1354034294.0,aa,56.51,2012-11-27 11:38:14
44,,1358895157.0,aa,53.49,2013-01-22 17:52:37
45,,1366761777.0,aa,53.21,2013-04-23 20:02:57
46,,1367024115.0,aa,53.21,2013-04-26 20:55:15
47,,1378023911.0,aa,52.71,2013-09-01 04:25:11
48,,1070811370.0,aapl,0.072,2003-12-07 10:36:10
49,,1075811614.0,aapl,0.07,2004-02-03 07:33:34
50,,1086240038.0,aapl,0.0,2004-06-03 01:20:38
51,,1092117764.0,aapl,0.0,2004-08-10 02:02:44
52,,1097574057.0,aapl,0.0,2004-10-12 05:40:57
53,,1102187811.0,aapl,0.0,2004-12-04 14:16:51
54,,1106770607.0,aapl,0.0,2005-01-26 15:16:47
55,,1107504428.0,aapl,0.0,2005-02-04 03:07:08
56,,1109691363.0,aapl,0.0,2005-03-01 10:36:03
57,,1134838553.0,aapl,0.0,2005-12-17 11:55:53
58,,1138200232.0,aapl,0.0,2006-01-25 09:43:52
59,,1376202632.0,aapl,13.75,2013-08-11 02:30:32
60,,1371650258.0,abbv,512.61,2013-06-19 09:57:38
61,,1067198792.0,abc,0.592,2003-10-26 16:06:32
62,,1075293454.0,abc,0.429,2004-01-28 07:37:34
63,,1084749855.0,abc,0.412,2004-05-16 19:24:15
64,,1098250286.0,abc,0.331,2004-10-20 01:31:26
65,,1105188342.0,abc,0.332,2005-01-08 07:45:42
66,,1112226762.0,abc,0.291,2005-03-30 19:52:42
67,,1117086644.0,abc,0.23,2005-05-26 01:50:44
68,,1133703973.0,abc,0.223,2005-12-04 08:46:13
69,,1171969922.0,abc,0.308,2007-02-20 06:12:02
70,,1175803867.0,abc,0.308,2007-04-05 16:11:07
71,,1201138445.0,abc,0.396,2008-01-23 20:34:05
72,,1310097855.0,abc,42.86,2011-07-08 00:04:15
73,,1330470098.0,abc,66.41,2012-02-28 18:01:38
74,,1366866120.0,abc,59.73,2013-04-25 01:02:00
75,,1095701462.0,abt,0.543,2004-09-20 13:31:02
76,,1098586088.0,abt,0.543,2004-10-23 22:48:08
77,,1106675051.0,abt,0.508,2005-01-25 12:44:11
78,,1109636514.0,abt,0.508,2005-02-28 19:21:54
79,,1150581661.0,abt,0.436,2006-06-17 18:01:01
80,,1153240334.0,abt,0.436,2006-07-18 12:32:14
81,,1168741182.0,abt,0.604,2007-01-13 21:19:42
82,,1174632460.0,abt,0.883,2007-03-23 02:47:40
83,,1176250389.0,abt,0.883,2007-04-10 20:13:09
84,,1180852595.0,abt,0.871,2007-06-03 02:36:35
85,,1183550359.0,abt,0.871,2007-07-04 07:59:19
86,,1201149705.0,abt,0.784,2008-01-23 23:41:45
87,,1209368815.0,abt,0.687,2008-04-28 03:46:55
88,,1224813462.0,abt,0.732,2008-10-23 21:57:42
89,,1230201056.0,abt,0.546,2008-12-25 05:30:56
90,,1312531893.0,abt,76.17,2011-08-05 04:11:33
91,,1314969867.0,abt,68.83,2011-09-02 09:24:27
92,,1320229281.0,abt,68.83,2011-11-02 06:21:21
93,,1325477620.0,abt,67.73,2012-01-01 23:13:40
94,,1330739790.0,abt,62.85,2012-03-02 20:56:30
95,,1333100655.0,abt,62.85,2012-03-30 05:44:15
96,,1341459984.0,abt,65.17,2012-07-04 23:46:24
97,,1368051002.0,abt,76.36,2013-05-08 18:10:02
98,,1376824365.0,abt,35.38,2013-08-18 07:12:45
99,,1092711207.0,ace,0.26,2004-08-16 22:53:27
100,,1097422062.0,ace,0.26,2004-10-10 11:27:42
101,,1105640849.0,ace,0.21,2005-01-13 13:27:29
102,,1172014325.0,ace,0.171,2007-02-20 18:32:05
103,,1175802846.0,ace,0.171,2007-04-05 15:54:06
104,,1201142938.0,ace,0.154,2008-01-23 21:48:58
105,,1291724970.0,ace,23.09,2010-12-07 07:29:30
106,,1313110140.0,ace,27.7,2011-08-11 20:49:00
107,,1366705443.0,ace,24.94,2013-04-23 04:24:03
108,,1368731337.0,ace,27.94,2013-05-16 15:08:57
109,,1071547944.0,aci,1.074,2003-12-15 23:12:24
110,,1106559187.0,aci,1.18,2005-01-24 04:33:07
111,,1107592611.0,aci,1.18,2005-02-05 03:36:51
112,,1112179828.0,aci,0.936,2005-03-30 06:50:28
113,,1148458621.0,aci,0.854,2006-05-24 04:17:01
114,,1173663667.0,aci,0.86,2007-03-11 21:41:07
115,,1175986347.0,aci,0.86,2007-04-07 18:52:27
116,,1204498227.0,aci,0.851,2008-03-02 17:50:27
117,,1212647036.0,aci,0.899,2008-06-05 02:23:56
118,,1223513488.0,aci,0.772,2008-10-08 20:51:28
119,,1228473357.0,aci,0.767,2008-12-05 05:35:57
120,,1313644601.0,aci,118.77,2011-08-18 01:16:41
121,,1343352670.0,aci,113.56,2012-07-26 21:31:10
122,,1352043126.0,aci,144.73,2012-11-04 10:32:06
123,,1366709115.0,aci,179.32,2013-04-23 05:25:15
124,,1366884353.0,aci,179.32,2013-04-25 06:05:53
125,,1068305087.0,acn,0.076,2003-11-08 10:24:47
126,,1101701629.0,acn,0.023,2004-11-28 23:13:49
127,,1102677984.0,acn,0.023,2004-12-10 06:26:24
128,,1108023056.0,acn,0.023,2005-02-10 03:10:56
129,,1112605660.0,acn,0.023,2005-04-04 05:07:40
130,,1125814018.0,acn,0.04,2005-09-04 02:06:58
131,,1149392654.0,acn,0.045,2006-06-03 23:44:14
132,,1156222241.0,acn,0.034,2006-08-22 00:50:41
133,,1156243445.0,acn,0.034,2006-08-22 06:44:05
134,,1156663378.0,acn,0.034,2006-08-27 03:22:58
135,,1162500055.0,acn,0.027,2006-11-02 16:40:55
136,,1163224902.0,acn,0.027,2006-11-11 01:01:42
137,,1165123032.0,acn,0.027,2006-12-03 00:17:12
138,,1173913839.0,acn,0.018,2007-03-14 19:10:39
139,,1178365634.0,acn,0.015,2007-05-05 07:47:14
140,,1181031454.0,acn,0.015,2007-06-05 04:17:34
141,,1183719996.0,acn,0.015,2007-07-06 07:06:36
142,,1207546971.0,acn,0.004,2008-04-07 01:42:51
143,,1224386467.0,acn,0.003,2008-10-18 23:21:07
144,,1228253293.0,acn,0.003,2008-12-02 16:28:13
145,,1229908246.0,acn,0.001,2008-12-21 20:10:46
146,,1314910297.0,acn,0.11,2011-09-01 16:51:37
147,,1320730819.0,acn,0.1,2011-11-08 00:40:19
148,,1330494421.0,acn,0.15,2012-02-29 00:47:01
149,,1352013088.0,acn,0.0,2012-11-04 02:11:28
150,,1366706722.0,acn,0.0,2013-04-23 04:45:22
151,,1368170249.0,acn,0.0,2013-05-10 03:17:29
152,,1368361649.0,act,177.28,2013-05-12 08:27:29
153,,1075026725.0,adbe,0.0,2004-01-25 05:32:05
154,,1093144200.0,adbe,0.0,2004-08-21 23:10:00
155,,1100297977.0,adbe,0.0,2004-11-12 17:19:37
156,,1107811207.0,adbe,0.0,2005-02-07 16:20:07
157,,1112688742.0,adbe,0.0,2005-04-05 04:12:22
158,,1125499890.0,adbe,0.0,2005-08-31 10:51:30
159,,1228419057.0,adbe,0.08,2008-12-04 14:30:57
160,,1228454155.0,adbe,0.08,2008-12-05 00:15:55
161,,1229532175.0,adbe,0.08,2008-12-17 11:42:55
162,,1229827754.0,adbe,0.079,2008-12-20 21:49:14
163,,1303632164.0,adbe,28.03,2011-04-24 04:02:44
164,,1312531906.0,adbe,28.17,2011-08-05 04:11:46
165,,1316972574.0,adbe,28.17,2011-09-25 13:42:54
166,,1318960046.0,adbe,27.25,2011-10-18 13:47:26
167,,1332605587.0,adbe,25.26,2012-03-24 12:13:07
168,,1341217882.0,adbe,24.76,2012-07-02 04:31:22
169,,1074598158.0,adi,0.0,2004-01-20 06:29:18
170,,1084401987.0,adi,0.0,2004-05-12 18:46:27
171,,1087909753.0,adi,0.0,2004-06-22 09:09:13
172,,1092118048.0,adi,0.0,2004-08-10 02:07:28
173,,1100184975.0,adi,0.0,2004-11-11 09:56:15
174,,1106555668.0,adi,0.0,2005-01-24 03:34:28
175,,1111035945.0,adi,0.0,2005-03-17 01:05:45
176,,1113017600.0,adi,0.0,2005-04-08 23:33:20
177,,1126148453.0,adi,0.0,2005-09-07 23:00:53
178,,1130761188.0,adi,0.0,2005-10-31 08:19:48
179,,1312531955.0,adi,25.32,2011-08-05 04:12:35
180,,1332172251.0,adi,22.65,2012-03-19 11:50:51
181,,1366611881.0,adi,17.57,2013-04-22 02:24:41
182,,1368288466.0,adi,17.57,2013-05-11 12:07:46
183,,1068676888.0,adm,0.733,2003-11-12 17:41:28
184,,1075540282.0,adm,0.703,2004-01-31 04:11:22
185,,1081975465.0,adm,0.789,2004-04-14 16:44:25
186,,1087666428.0,adm,0.848,2004-06-19 13:33:48
187,,1101816532.0,adm,0.613,2004-11-30 07:08:52
188,,1106719086.0,adm,0.613,2005-01-26 00:58:06
189,,1107915676.0,adm,0.613,2005-02-08 21:21:16
190,,1108431586.0,adm,0.528,2005-02-14 20:39:46
191,,1171976708.0,adm,0.541,2007-02-20 08:05:08
192,,1173273115.0,adm,0.541,2007-03-07 08:11:55
193,,1176136837.0,adm,0.541,2007-04-09 12:40:37
194,,1182151472.0,adm,0.597,2007-06-18 03:24:32
195,,1182244254.0,adm,0.597,2007-06-19 05:10:54
196,,1192183054.0,adm,0.47,2007-10-12 05:57:34
197,,1201148084.0,adm,0.62,2008-01-23 23:14:44
